Actual,Predicted,Residual
79,77.90050335667193,1.0994966433280666
81,79.5668319990089,1.4331680009911025
78,78.4819712363437,-0.4819712363436963
83,76.28863172267415,6.711368277325846
78,74.81386156460374,3.186138435396259
80,74.95297221945376,5.0470277805462445
79,76.34861619322405,2.6513838067759536
84,77.95663225733638,6.043367742663619
80,78.88628047253131,1.1137195274686889
84,78.81006907440593,5.189930925594069
80,77.76486600506861,2.235133994931388
80,75.75205204049252,4.247947959507485
70,72.63600526476193,-2.636005264761934
68,68.41833576944467,-0.418335769444667
61,63.52005508144644,-2.5200550814464435
55,58.70510027671567,-3.705100276715669
50,54.695847094993525,-4.695847094993525
41,51.88755788947703,-10.88755788947703
38,50.45948223218674,-12.459482232186737
38,50.71158903983465,-12.71158903983465
44,53.1428730510862,-9.142873051086198
48,58.010949646905694,-10.010949646905694
